           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   5.38509288898e-03   1.95971456032e-02   1.42120527142e-02
   1.00000000000e-01   5.38509288898e-03   6.51032351580e-03   1.12523062682e-03
   1.00000000000e-02   5.38509288898e-03   5.49623795433e-03   1.11145065357e-04
   1.00000000000e-03   5.38509288898e-03   5.39619462421e-03   1.11017352354e-05
   1.00000000000e-04   5.38509288898e-03   5.38620283000e-03   1.10994102390e-06
   1.00000000000e-05   5.38509288898e-03   5.38521215676e-03   1.19267786010e-07
   1.00000000000e-06   5.38509288898e-03   5.38497677005e-03   1.16118924112e-07
   1.00000000000e-07   5.38509288898e-03   5.38585620546e-03   7.63316489269e-07
   1.00000000000e-08   5.38509288898e-03   5.38157851615e-03   3.51437282461e-06
   1.00000000000e-09   5.38509288898e-03   5.26319265948e-03   1.21900229498e-04
   1.00000000000e-10   5.38509288898e-03   3.77531339524e-03   1.60977949374e-03
   1.00000000000e-11   5.38509288898e-03  -2.10512163257e-02   2.64363092146e-02
