           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.12023382035e+02   7.98762185366e+02   6.86738803332e+02
   1.00000000000e-01   1.12023382035e+02   1.36413744702e+02   2.43903626668e+01
   1.00000000000e-02   1.12023382035e+02   1.14371973469e+02   2.34859143417e+00
   1.00000000000e-03   1.12023382035e+02   1.12257501566e+02   2.34119531582e-01
   1.00000000000e-04   1.12023382035e+02   1.12046789214e+02   2.34071793970e-02
   1.00000000000e-05   1.12023382035e+02   1.12025697595e+02   2.31556042121e-03
   1.00000000000e-06   1.12023382035e+02   1.12023468432e+02   8.63974336909e-05
   1.00000000000e-07   1.12023382035e+02   1.12026169177e+02   2.78714195061e-03
   1.00000000000e-08   1.12023382035e+02   1.12226479132e+02   2.03097097240e-01
   1.00000000000e-09   1.12023382035e+02   1.12269532337e+02   2.46150302685e-01
   1.00000000000e-10   1.12023382035e+02   1.17659908483e+02   5.63652644813e+00
   1.00000000000e-11   1.12023382035e+02   8.41367864268e+01   2.78865956079e+01
