           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   4.55333807633e-04   5.05453526171e-04   5.01197185385e-05
   1.00000000000e-01   4.55333807633e-04   4.60365562467e-04   5.03175483385e-06
   1.00000000000e-02   4.55333807633e-04   4.55836978679e-04   5.03171046579e-07
   1.00000000000e-03   4.55333807633e-04   4.55384304078e-04   5.04964453034e-08
   1.00000000000e-04   4.55333807633e-04   4.55338022148e-04   4.21451562581e-09
   1.00000000000e-05   4.55333807633e-04   4.55348381917e-04   1.45742842243e-08
   1.00000000000e-06   4.55333807633e-04   4.55542811806e-04   2.09004173080e-07
   1.00000000000e-07   4.55333807633e-04   4.57349713656e-04   2.01590602345e-06
   1.00000000000e-08   4.55333807633e-04   4.54550980189e-04   7.82827443757e-07
   1.00000000000e-09   4.55333807633e-04   6.29579721689e-04   1.74245914057e-04
   1.00000000000e-10   4.55333807633e-04   1.37806432932e-04   3.17527374701e-04
   1.00000000000e-11   4.55333807633e-04   5.36098943016e-03   4.90565562253e-03
   1.00000000000e-12   4.55333807633e-04   1.44349809883e-01   1.43894476075e-01
   1.00000000000e-13   4.55333807633e-04  -7.17481629664e-02   7.22034967740e-02
   1.00000000000e-14   4.55333807633e-04   3.83373888191e+00   3.83328354810e+00
