           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   4.36702201048e-03   7.50192907733e-03   3.13490706685e-03
   1.00000000000e-01   4.36702201048e-03   4.66559828641e-03   2.98576275936e-04
   1.00000000000e-02   4.36702201048e-03   4.39678819431e-03   2.97661838311e-05
   1.00000000000e-03   4.36702201048e-03   4.36999657038e-03   2.97455990126e-06
   1.00000000000e-04   4.36702201048e-03   4.36730838216e-03   2.86371680627e-07
   1.00000000000e-05   4.36702201048e-03   4.36689559444e-03   1.26416040045e-07
   1.00000000000e-06   4.36702201048e-03   4.36561309325e-03   1.40891722863e-06
   1.00000000000e-07   4.36702201048e-03   4.35507879759e-03   1.19432128866e-05
   1.00000000000e-08   4.36702201048e-03   4.24728863191e-03   1.19733378569e-04
   1.00000000000e-09   4.36702201048e-03   2.92108004452e-03   1.44594196596e-03
   1.00000000000e-10   4.36702201048e-03  -7.37618299773e-03   1.17432050082e-02
   1.00000000000e-11   4.36702201048e-03  -1.39247641195e-01   1.43614663206e-01
