           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   4.36702217360e-03   7.50192907892e-03   3.13490690532e-03
   1.00000000000e-01   4.36702217360e-03   4.66559829904e-03   2.98576125442e-04
   1.00000000000e-02   4.36702217360e-03   4.39678834599e-03   2.97661723984e-05
   1.00000000000e-03   4.36702217360e-03   4.36999736124e-03   2.97518764276e-06
   1.00000000000e-04   4.36702217360e-03   4.36731570269e-03   2.93529094760e-07
   1.00000000000e-05   4.36702217360e-03   4.36694437417e-03   7.77994287248e-08
   1.00000000000e-06   4.36702217360e-03   4.36629638001e-03   7.25793587056e-07
   1.00000000000e-07   4.36702217360e-03   4.36676278470e-03   2.59388894411e-07
   1.00000000000e-08   4.36702217360e-03   4.31858437899e-03   4.84377946038e-05
   1.00000000000e-09   4.36702217360e-03   3.78355680120e-03   5.83465372401e-04
   1.00000000000e-10   4.36702217360e-03  -6.71823707776e-04   5.03884588137e-03
   1.00000000000e-11   4.36702217360e-03  -3.46118966821e-02   3.89789188557e-02
