           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -4.36702195816e-03  -7.50192907913e-03   3.13490712097e-03
   1.00000000000e-01  -4.36702195816e-03  -4.66559829764e-03   2.98576339478e-04
   1.00000000000e-02  -4.36702195816e-03  -4.39678826289e-03   2.97663047363e-05
   1.00000000000e-03  -4.36702195816e-03  -4.36999746256e-03   2.97550440259e-06
   1.00000000000e-04  -4.36702195816e-03  -4.36732112807e-03   2.99169915226e-07
   1.00000000000e-05  -4.36702195816e-03  -4.36701909079e-03   2.86736884583e-09
   1.00000000000e-06  -4.36702195816e-03  -4.36667402237e-03   3.47935787130e-07
   1.00000000000e-07  -4.36702195816e-03  -4.36359615108e-03   3.42580707830e-06
   1.00000000000e-08  -4.36702195816e-03  -4.33854063786e-03   2.84813202980e-05
   1.00000000000e-09  -4.36702195816e-03  -4.06019662336e-03   3.06825334802e-04
   1.00000000000e-10  -4.36702195816e-03  -2.34257058196e-03   2.02445137620e-03
   1.00000000000e-11  -4.36702195816e-03   1.62436730733e-01   1.66803752691e-01
