           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -3.67147284353e-03  -4.37321787594e-04   3.23415105593e-03
   1.00000000000e-01  -3.67147284353e-03  -3.30797483222e-03   3.63498011301e-04
   1.00000000000e-02  -3.67147284353e-03  -3.63453682620e-03   3.69360173257e-05
   1.00000000000e-03  -3.67147284353e-03  -3.66777368683e-03   3.69915669744e-06
   1.00000000000e-04  -3.67147284353e-03  -3.67110554893e-03   3.67294598715e-07
   1.00000000000e-05  -3.67147284353e-03  -3.67143990973e-03   3.29337957812e-08
   1.00000000000e-06  -3.67147284353e-03  -3.67156770958e-03   9.48660582520e-08
   1.00000000000e-07  -3.67147284353e-03  -3.68018136798e-03   8.70852445591e-06
   1.00000000000e-08  -3.67147284353e-03  -3.68171812481e-03   1.02452812888e-05
   1.00000000000e-09  -3.67147284353e-03  -3.92299387419e-03   2.51521030669e-04
   1.00000000000e-10  -3.67147284353e-03   5.90638649101e-04   4.26211149263e-03
   1.00000000000e-11  -3.67147284353e-03  -3.39138439553e-02   3.02423711118e-02
