           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   3.05477706001e-03   7.31796024016e-03   4.26318318015e-03
   1.00000000000e-01   3.05477706001e-03   4.03954514678e-03   9.84768086769e-04
   1.00000000000e-02   3.05477706001e-03   3.15302073080e-03   9.82436707842e-05
   1.00000000000e-03   3.05477706001e-03   3.06458207233e-03   9.80501232105e-06
   1.00000000000e-04   3.05477706001e-03   3.05564346048e-03   8.66400470358e-07
   1.00000000000e-05   3.05477706001e-03   3.05234688636e-03   2.43017365443e-06
   1.00000000000e-06   3.05477706001e-03   3.05326730565e-03   1.50975435810e-06
   1.00000000000e-07   3.05477706001e-03   2.99500313439e-03   5.97739256235e-05
   1.00000000000e-08   3.05477706001e-03   1.87487803061e-03   1.17989902941e-03
   1.00000000000e-09   3.05477706001e-03  -1.38747902056e-02   1.69295672657e-02
   1.00000000000e-10   3.05477706001e-03  -8.80429062988e-02   9.10976833588e-02
   1.00000000000e-11   3.05477706001e-03  -2.04534167381e+00   2.04839645087e+00
