           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -2.00609985965e+05  -1.64510079104e+05   3.60999068611e+04
   1.00000000000e-01  -2.00609985965e+05  -1.92671864220e+05   7.93812174467e+03
   1.00000000000e-02  -2.00609985965e+05  -1.99745099795e+05   8.64886169634e+02
   1.00000000000e-03  -2.00609985965e+05  -2.00522702499e+05   8.72834657414e+01
   1.00000000000e-04  -2.00609985965e+05  -2.00600915407e+05   9.07055820359e+00
   1.00000000000e-05  -2.00609985965e+05  -2.00608792948e+05   1.19301742897e+00
   1.00000000000e-06  -2.00609985965e+05  -2.00638771988e+05   2.87860234173e+01
   1.00000000000e-07  -2.00609985965e+05  -2.00880828779e+05   2.70842814157e+02
   1.00000000000e-08  -2.00609985965e+05  -2.04295874573e+05   3.68588860826e+03
   1.00000000000e-09  -2.00609985965e+05  -2.35356856138e+05   3.47468701725e+04
   1.00000000000e-10  -2.00609985965e+05  -1.00470613688e+06   8.04096150917e+05
   1.00000000000e-11  -2.00609985965e+05  -1.16920797154e+07   1.14914697295e+07
