           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -9.52693694614e-04  -8.92566557408e-04   6.01271372062e-05
   1.00000000000e-01  -9.52693694614e-04  -9.50505857819e-04   2.18783679523e-06
   1.00000000000e-02  -9.52693694614e-04  -9.52479904971e-04   2.13789643025e-07
   1.00000000000e-03  -9.52693694614e-04  -9.52671489005e-04   2.22056091443e-08
   1.00000000000e-04  -9.52693694614e-04  -9.52688163549e-04   5.53106545406e-09
   1.00000000000e-05  -9.52693694614e-04  -9.52642394483e-04   5.13001310750e-08
   1.00000000000e-06  -9.52693694614e-04  -9.52532870288e-04   1.60824326344e-07
   1.00000000000e-07  -9.52693694614e-04  -9.54107903794e-04   1.41420918005e-06
   1.00000000000e-08  -9.52693694614e-04  -9.16211377600e-04   3.64823170149e-05
   1.00000000000e-09  -9.52693694614e-04   1.84928461433e-04   1.13762215605e-03
   1.00000000000e-10  -9.52693694614e-04   1.03469836865e-02   1.12996773811e-02
   1.00000000000e-11  -9.52693694614e-04   1.09895773037e-01   1.10848466732e-01
