           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   4.83079499188e-02   4.35798291942e-02   4.72812072459e-03
   1.00000000000e-01   4.83079499188e-02   4.81023543490e-02   2.05595569747e-04
   1.00000000000e-02   4.83079499188e-02   4.82893186477e-02   1.86312710749e-05
   1.00000000000e-03   4.83079499188e-02   4.83061056242e-02   1.84429453268e-06
   1.00000000000e-04   4.83079499188e-02   4.83077657798e-02   1.84138964111e-07
   1.00000000000e-05   4.83079499188e-02   4.83079316327e-02   1.82860771386e-08
   1.00000000000e-06   4.83079499188e-02   4.83079458657e-02   4.05301795597e-09
   1.00000000000e-07   4.83079499188e-02   4.83079443114e-02   5.60733019045e-09
   1.00000000000e-08   4.83079499188e-02   4.83078244073e-02   1.25511416850e-07
   1.00000000000e-09   4.83079499188e-02   4.83074691360e-02   4.80782784730e-07
   1.00000000000e-10   4.83079499188e-02   4.83046935784e-02   3.25634034629e-06
   1.00000000000e-11   4.83079499188e-02   4.82947015712e-02   1.32483475679e-05
