           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   6.71060809326e-03   2.32191617397e-02   1.65085536465e-02
   1.00000000000e-01   6.71060809326e-03   8.08345636309e-03   1.37284826983e-03
   1.00000000000e-02   6.71060809326e-03   6.84447946876e-03   1.33871375504e-04
   1.00000000000e-03   6.71060809326e-03   6.72396286701e-03   1.33547737501e-05
   1.00000000000e-04   6.71060809326e-03   6.71196244750e-03   1.35435424477e-06
   1.00000000000e-05   6.71060809326e-03   6.71074735781e-03   1.39264549242e-07
   1.00000000000e-06   6.71060809326e-03   6.71058197899e-03   2.61142725057e-08
   1.00000000000e-07   6.71060809326e-03   6.70850056061e-03   2.10753264350e-06
   1.00000000000e-08   6.71060809326e-03   6.80533823738e-03   9.47301441228e-05
   1.00000000000e-09   6.71060809326e-03   6.47748521487e-03   2.33122878385e-04
   1.00000000000e-10   6.71060809326e-03  -5.06900077468e-03   1.17796088679e-02
   1.00000000000e-11   6.71060809326e-03   1.12350406756e-01   1.05639798662e-01
