           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   5.46314318547e-03   1.91809404591e-03   3.54504913956e-03
   1.00000000000e-01   5.46314318547e-03   5.74989958089e-03   2.86756395420e-04
   1.00000000000e-02   5.46314318547e-03   5.49240604180e-03   2.92628563273e-05
   1.00000000000e-03   5.46314318547e-03   5.46606892637e-03   2.92574090537e-06
   1.00000000000e-04   5.46314318547e-03   5.46340398255e-03   2.60797084201e-07
   1.00000000000e-05   5.46314318547e-03   5.46244853794e-03   6.94647528116e-07
   1.00000000000e-06   5.46314318547e-03   5.46463252427e-03   1.48933879701e-06
   1.00000000000e-07   5.46314318547e-03   5.41081179861e-03   5.23313868570e-05
   1.00000000000e-08   5.46314318547e-03   4.93447505079e-03   5.28668134680e-04
   1.00000000000e-09   5.46314318547e-03   7.38964445191e-04   4.72417874028e-03
   1.00000000000e-10   5.46314318547e-03  -1.83897341799e-02   2.38528773654e-02
   1.00000000000e-11   5.46314318547e-03  -2.15416573468e+00   2.15962887787e+00
