           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.07716642477e-03  -3.18364710470e-04   1.39553113524e-02
   1.00000000000e-01   1.07716642477e-03   6.76577323325e-03   1.68860680848e-03
   1.00000000000e-02   1.07716642477e-03   1.64632324864e-03   1.69156823866e-04
   1.00000000000e-03   1.07716642477e-03   1.13400053348e-03   1.68341087029e-05
   1.00000000000e-04   1.07716642477e-03   1.08285947542e-03   1.69305064788e-06
   1.00000000000e-05   1.07716642477e-03   1.07756514822e-03   1.98723449009e-07
   1.00000000000e-06   1.07716642477e-03   1.07584074982e-03   1.32567495284e-06
   1.00000000000e-07   1.07716642477e-03   1.05172981435e-03   2.54366104232e-05
   1.00000000000e-08   1.07716642477e-03   1.05320197008e-03   2.39644546926e-04
   1.00000000000e-09   1.07716642477e-03   1.01518793372e-03   1.19784910557e-03
   1.00000000000e-10   1.07716642477e-03  -1.32582833601e-02   1.43354497848e-02
   1.00000000000e-11   1.07716642477e-03  -6.86461998356e-01   1.87539164781e-01
