           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -2.15468998183e-04  -4.05666791031e-04   1.90197792847e-04
   1.00000000000e-01  -2.15468998183e-04  -2.37672011226e-04   2.22030130426e-05
   1.00000000000e-02  -2.15468998183e-04  -2.17714157625e-04   2.24515944140e-06
   1.00000000000e-03  -2.15468998183e-04  -2.15693753606e-04   2.24755422401e-07
   1.00000000000e-04  -2.15468998183e-04  -2.15492235258e-04   2.32370748191e-08
   1.00000000000e-05  -2.15468998183e-04  -2.15473041840e-04   4.04365626324e-09
   1.00000000000e-06  -2.15468998183e-04  -2.15481961701e-04   1.29635176406e-08
   1.00000000000e-07  -2.15468998183e-04  -2.15218641519e-04   2.50356663991e-07
   1.00000000000e-08  -2.15468998183e-04  -2.12979373720e-04   2.48962446296e-06
   1.00000000000e-09  -2.15468998183e-04  -2.26307687867e-04   1.08386896838e-05
   1.00000000000e-10  -2.15468998183e-04   2.37657116209e-05   2.39234709804e-04
   1.00000000000e-11  -2.15468998183e-04   2.02728459020e-03   2.24275358838e-03
