           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.17445510431e+02   1.28176384074e+02   1.07308736429e+01
   1.00000000000e-01   1.17445510431e+02   1.18493948943e+02   1.04843851237e+00
   1.00000000000e-02   1.17445510431e+02   1.17550109703e+02   1.04599272017e-01
   1.00000000000e-03   1.17445510431e+02   1.17455967914e+02   1.04574830423e-02
   1.00000000000e-04   1.17445510431e+02   1.17446556153e+02   1.04572218540e-03
   1.00000000000e-05   1.17445510431e+02   1.17445614995e+02   1.04564562434e-04
   1.00000000000e-06   1.17445510431e+02   1.17445521028e+02   1.05967067299e-05
   1.00000000000e-07   1.17445510431e+02   1.17445512728e+02   2.29756757619e-06
   1.00000000000e-08   1.17445510431e+02   1.17445495107e+02   1.53238922707e-05
   1.00000000000e-09   1.17445510431e+02   1.17445608794e+02   9.83629454367e-05
   1.00000000000e-10   1.17445510431e+02   1.17448166748e+02   2.65631679419e-03
   1.00000000000e-11   1.17445510431e+02   1.17449872050e+02   4.36161936003e-03
   1.00000000000e-12   1.17445510431e+02   1.17324816529e+02   1.20693902134e-01
