           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   3.33308564676e-01   3.69241180156e-01   3.59326154806e-02
   1.00000000000e-01   3.33308564676e-01   3.56701822758e-01   2.33932580823e-02
   1.00000000000e-02   3.33308564676e-01   3.55099496091e-01   2.17909314148e-02
   1.00000000000e-03   3.33308564676e-01   3.54935660472e-01   2.16270957960e-02
   1.00000000000e-04   3.33308564676e-01   3.54919240728e-01   2.16106760524e-02
   1.00000000000e-05   3.33308564676e-01   3.54917598244e-01   2.16090335685e-02
   1.00000000000e-06   3.33308564676e-01   3.54917436995e-01   2.16088723197e-02
   1.00000000000e-07   3.33308564676e-01   3.54917379930e-01   2.16088152542e-02
   1.00000000000e-08   3.33308564676e-01   3.54916718237e-01   2.16081535613e-02
   1.00000000000e-09   3.33308564676e-01   3.54921647627e-01   2.16130829516e-02
   1.00000000000e-10   3.33308564676e-01   3.54878348929e-01   2.15697842536e-02
   1.00000000000e-11   3.33308564676e-01   3.55138141117e-01   2.18295764414e-02
   1.00000000000e-12   3.33308564676e-01   3.51274564991e-01   1.79660003157e-02
   1.00000000000e-13   3.33308564676e-01   3.26405569240e-01   6.90299543595e-03
   1.00000000000e-14   3.33308564676e-01  -4.21884749358e-01   7.55193314033e-01
