
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  0     1.005989e+02   1.506277e+01   ---            1.500000e+01   1         1         0         2         ---       
  1     7.086171e+01   1.308216e+01   1.304133e+01   1.500000e+01   2         2         1         6         0         
  2     3.828143e+01   5.523881e+00   1.092018e+01   1.500000e+01   3         3         2         10        0         
  3     2.602278e+01   2.220970e+00   4.177253e+00   1.500000e+01   4         4         3         14        0         
  4     1.771308e+01   1.234989e+00   7.125565e+00   1.500000e+01   5         5         5         19        0         
  5     1.753328e+01   2.162165e+00   1.113733e+01   1.500000e+01   6         6         7         24        0         
  6     1.439868e+01   1.577964e+00   1.024669e+01   1.500000e+01   7         7         8         27        0         
  7     1.439868e+01   1.577964e+00   1.456567e+01   1.092425e+01   8         7         10        31        2         
  8     1.439868e+01   1.577964e+00   8.529196e+00   6.396897e+00   9         7         11        34        2         
  9     1.332141e+01   6.995319e-01   6.370094e+00   6.396897e+00   10        8         12        37        0         
  10    1.192699e+01   2.737665e-01   3.382739e+00   6.396897e+00   11        9         13        41        0         
  11    1.120256e+01   3.685962e-01   5.434705e+00   6.396897e+00   12        10        15        46        0         
  12    1.105121e+01   2.617457e-01   4.841430e+00   6.396897e+00   13        11        16        50        0         
  13    1.105121e+01   2.617457e-01   5.011505e+00   3.758629e+00   14        11        17        53        2         
  14    1.066152e+01   1.791277e-01   3.107431e+00   3.758629e+00   15        12        18        56        0         
  15    1.056323e+01   1.293853e-01   1.888335e+00   3.758629e+00   16        13        19        60        0         
  16    1.043709e+01   9.054295e-02   1.604653e+00   3.758629e+00   17        14        20        64        0         
  17    1.024756e+01   8.316492e-02   3.669699e+00   3.758629e+00   18        15        22        69        0         
  18    1.015628e+01   1.284870e-01   2.616647e+00   3.758629e+00   19        16        23        72        0         
  19    1.005448e+01   7.935138e-02   2.437779e+00   3.758629e+00   20        17        24        76        0         
  20    9.957977e+00   1.035265e-01   2.406865e+00   3.758629e+00   21        18        25        80        0         
  21    9.860636e+00   4.415756e-02   1.824000e+00   3.758629e+00   22        19        26        84        0         
  22    9.806985e+00   3.641451e-02   1.399763e+00   4.510354e+00   23        20        27        88        0         
  23    9.693869e+00   3.973933e-02   3.867236e+00   5.412425e+00   24        21        29        93        0         
  24    9.588841e+00   5.592915e-02   4.295836e+00   5.412425e+00   25        22        30        97        0         
  25    9.588841e+00   5.592915e-02   4.448725e+00   3.336543e+00   26        22        31        100       2         
  26    9.567896e+00   8.203004e-02   3.260915e+00   3.336543e+00   27        23        32        103       0         
  27    9.560504e+00   8.626796e-02   2.885129e+00   3.336543e+00   28        24        33        107       0         
  28    9.560504e+00   8.626796e-02   3.272104e+00   2.454078e+00   29        24        34        110       2         
  29    9.506655e+00   2.481783e-02   1.577272e+00   2.454078e+00   30        25        35        114       0         
  30    9.497170e+00   2.785064e-02   1.426988e+00   2.454078e+00   31        26        37        119       0         
  31    9.497170e+00   2.785064e-02   1.996306e+00   1.497229e+00   32        26        38        122       2         
  32    9.490204e+00   2.148105e-02   1.306692e+00   1.497229e+00   33        27        39        125       0         
  33    9.485095e+00   1.723520e-02   1.034441e+00   1.497229e+00   34        28        40        129       0         
  34    9.481884e+00   1.190605e-02   7.717371e-01   1.497229e+00   35        29        41        133       0         
  35    9.479184e+00   7.068951e-03   5.572548e-01   1.497229e+00   36        30        42        137       0         
  36    9.477430e+00   5.432796e-03   3.952020e-01   1.497229e+00   37        31        43        141       0         
  37    9.473107e+00   8.884101e-03   1.253735e+00   1.497229e+00   38        32        45        146       0         
  38    9.473107e+00   8.884101e-03   1.215887e+00   9.119152e-01   39        32        46        148       2         
  39    9.471204e+00   7.136880e-03   6.234767e-01   9.119152e-01   40        33        47        151       0         
  40    9.469781e+00   4.587717e-03   4.149228e-01   9.119152e-01   41        34        48        155       0         
  41    9.468739e+00   3.753179e-03   3.278692e-01   9.119152e-01   42        35        49        159       0         
  42    9.467855e+00   3.456705e-03   2.647507e-01   9.119152e-01   43        36        50        163       0         
  43    9.467038e+00   3.372635e-03   2.451138e-01   1.094298e+00   44        37        51        167       0         
  44    9.463948e+00   4.177093e-03   1.049535e+00   1.313158e+00   45        38        53        172       0         
  45    9.462970e+00   7.617211e-03   7.100787e-01   1.313158e+00   46        39        54        175       0         
  46    9.462136e+00   1.150352e-02   1.017613e+00   1.313158e+00   47        40        55        179       0         
  47    9.460212e+00   1.336442e-02   9.701982e-01   1.313158e+00   48        41        56        182       0         
  48    9.458157e+00   1.173637e-02   9.532884e-01   1.313158e+00   49        42        57        186       0         
  49    9.455867e+00   1.318894e-02   9.470226e-01   1.313158e+00   50        43        58        190       0         
  50    9.452439e+00   1.211251e-02   9.734794e-01   1.313158e+00   51        44        59        194       0         
  51    9.448453e+00   1.121827e-02   9.477193e-01   1.313158e+00   52        45        60        198       0         
  52    9.445567e+00   8.537933e-03   8.296209e-01   1.313158e+00   53        46        61        202       0         
  53    9.443711e+00   7.852204e-03   7.030776e-01   1.313158e+00   54        47        62        206       0         
  54    9.442252e+00   6.046574e-03   5.937083e-01   1.313158e+00   55        48        63        210       0         
  55    9.441104e+00   4.650750e-03   4.879318e-01   1.313158e+00   56        49        64        214       0         
  56    9.440314e+00   1.021928e-02   1.298091e+00   1.313158e+00   57        50        66        219       0         
  57    9.440314e+00   1.021928e-02   1.126624e+00   8.449680e-01   58        50        67        222       2         
  58    9.437581e+00   3.793763e-03   5.705118e-01   8.449680e-01   59        51        68        225       0         
  59    9.436760e+00   5.774936e-03   6.592722e-01   8.449680e-01   60        52        70        230       0         
  60    9.436760e+00   5.774936e-03   8.004656e-01   6.003492e-01   61        52        71        232       2         
  61    9.435756e+00   3.386239e-03   4.015954e-01   6.003492e-01   62        53        72        235       0         
  62    9.435231e+00   2.741340e-03   2.230233e-01   6.003492e-01   63        54        73        239       0         
  63    9.434850e+00   2.126880e-03   1.636758e-01   7.204191e-01   64        55        74        243       0         
  64    9.433935e+00   2.068267e-03   5.446630e-01   8.645029e-01   65        56        76        248       0         
  65    9.433935e+00   2.068267e-03   6.556694e-01   4.917520e-01   66        56        77        251       2         
  66    9.433852e+00   3.586883e-03   3.283309e-01   4.917520e-01   67        57        78        254       0         
  67    9.433572e+00   2.816066e-03   3.120607e-01   4.917520e-01   68        58        79        257       0         
  68    9.433334e+00   2.281228e-03   2.448995e-01   4.917520e-01   69        59        80        261       0         
  69    9.433142e+00   1.867608e-03   1.937562e-01   4.917520e-01   70        60        81        265       0         
  70    9.432994e+00   1.547725e-03   1.557946e-01   4.917520e-01   71        61        82        269       0         
  71    9.432855e+00   1.416350e-03   1.350634e-01   4.917520e-01   72        62        83        273       0         
