
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  0     1.212863e+01   3.302705e+00   ---            1.500000e+01   1         1         0         2         ---       
  1     5.917604e+00   2.849115e+00   9.378193e+00   1.500000e+01   2         2         1         6         0         
  2     3.500235e+00   7.579025e-01   7.523714e+00   1.500000e+01   3         3         2         10        0         
  3     2.117213e+00   5.636667e-01   9.612994e+00   1.500000e+01   4         4         4         15        0         
  4     2.117213e+00   5.636667e-01   1.295357e+01   9.715179e+00   5         4         6         19        2         
  5     1.435962e+00   1.237912e-01   7.552276e+00   9.715179e+00   6         5         7         23        0         
  6     1.157931e+00   1.253032e-01   7.501442e+00   9.715179e+00   7         6         9         28        0         
  7     1.157931e+00   1.253032e-01   7.188532e+00   5.391399e+00   8         6         10        31        2         
  8     1.084896e+00   5.979159e-02   5.006951e+00   5.391399e+00   9         7         11        34        0         
  9     1.004562e+00   2.366039e-02   2.043163e+00   5.391399e+00   10        8         12        38        0         
  10    1.004562e+00   2.366039e-02   4.143902e+00   3.107927e+00   11        8         14        42        2         
  11    9.760331e-01   2.365055e-02   2.372060e+00   3.107927e+00   12        9         15        45        0         
  12    9.688170e-01   2.323867e-02   2.319503e+00   3.107927e+00   13        10        16        49        0         
  13    9.564712e-01   2.240263e-02   2.525743e+00   3.107927e+00   14        11        17        53        0         
  14    9.444606e-01   1.395331e-02   1.990373e+00   3.107927e+00   15        12        18        57        0         
  15    9.373700e-01   1.157490e-02   1.537564e+00   3.107927e+00   16        13        19        61        0         
  16    9.312566e-01   7.255090e-03   1.106605e+00   3.107927e+00   17        14        20        65        0         
  17    9.312566e-01   7.255090e-03   2.955259e+00   2.216444e+00   18        14        22        69        2         
  18    9.283059e-01   1.007569e-02   1.774088e+00   2.216444e+00   19        15        23        72        0         
  19    9.221818e-01   5.995446e-03   1.313769e+00   2.216444e+00   20        16        24        75        0         
  20    9.195325e-01   4.738411e-03   8.216552e-01   2.216444e+00   21        17        25        79        0         
  21    9.175702e-01   3.801257e-03   5.999900e-01   2.216444e+00   22        18        26        83        0         
  22    8.935712e-01   6.380961e-03   2.127134e+00   2.659733e+00   23        19        28        88        0         
  23    8.935712e-01   6.380961e-03   1.909329e+00   1.431997e+00   24        19        29        90        2         
  24    8.904347e-01   3.492022e-03   1.018881e+00   1.431997e+00   25        20        30        93        0         
  25    8.891299e-01   2.838492e-03   5.367999e-01   1.431997e+00   26        21        31        97        0         
  26    8.881351e-01   2.530030e-03   4.261689e-01   1.718397e+00   27        22        32        101       0         
  27    8.618403e-01   2.431430e-03   1.713989e+00   2.062076e+00   28        23        34        106       0         
  28    8.618403e-01   2.431430e-03   1.737446e+00   1.303085e+00   29        23        35        109       2         
  29    8.615085e-01   3.396439e-03   9.020799e-01   1.303085e+00   30        24        36        112       0         
  30    8.614683e-01   3.908047e-03   1.040462e+00   1.303085e+00   31        25        37        116       0         
  31    8.606202e-01   3.160914e-03   7.766221e-01   1.303085e+00   32        26        38        119       0         
  32    8.366232e-01   2.600419e-03   5.894444e-01   1.563701e+00   33        27        39        123       0         
  33    8.361293e-01   1.901838e-03   5.260374e-01   1.563701e+00   34        28        40        127       0         
  34    8.361293e-01   1.901838e-03   1.488286e+00   1.116215e+00   35        28        42        131       2         
  35    8.361293e-01   1.901838e-03   8.116310e-01   6.087232e-01   36        28        43        133       2         
  36    8.358436e-01   2.318164e-03   4.280791e-01   6.087232e-01   37        29        44        136       0         
  37    8.126000e-01   1.730096e-03   3.311500e-01   7.304679e-01   38        30        45        139       0         
  38    8.122361e-01   1.368487e-03   2.447379e-01   7.304679e-01   39        31        46        143       0         
  39    8.119868e-01   1.232421e-03   1.933222e-01   8.765614e-01   40        32        47        147       0         
  40    8.111744e-01   9.526140e-04   8.088058e-01   8.765614e-01   41        33        49        152       0         
  41    8.106624e-01   3.047285e-03   6.608483e-01   8.765614e-01   42        34        50        156       0         
  42    7.880109e-01   2.228663e-03   5.416698e-01   1.051874e+00   43        35        51        160       0         
  43    7.873906e-01   1.806661e-03   3.851265e-01   1.051874e+00   44        36        52        164       0         
  44    7.869397e-01   1.547361e-03   3.103633e-01   1.051874e+00   45        37        53        168       0         
  45    7.865645e-01   1.456363e-03   2.757592e-01   1.051874e+00   46        38        54        172       0         
  46    7.862208e-01   3.908843e-03   2.585527e-01   1.262248e+00   47        39        55        176       0         
  47    7.633451e-01   3.205526e-03   6.958204e-01   1.514698e+00   48        40        56        180       0         
  48    7.621034e-01   2.844924e-03   5.543440e-01   1.514698e+00   49        41        57        184       0         
  49    7.612644e-01   2.598586e-03   4.915270e-01   1.514698e+00   50        42        58        188       0         
  50    7.607346e-01   2.642989e-03   4.414757e-01   1.514698e+00   51        43        59        192       0         
  51    7.604420e-01   3.931483e-03   4.434011e-01   1.514698e+00   52        44        60        196       0         
  52    7.378544e-01   3.781256e-03   6.751525e-01   1.817638e+00   53        45        61        200       0         
  53    7.371644e-01   4.295257e-03   6.138642e-01   1.817638e+00   54        46        62        204       0         
  54    7.370452e-01   6.303551e-03   7.185761e-01   1.817638e+00   55        47        63        208       0         
  55    7.370452e-01   6.303551e-03   9.781990e-01   7.336492e-01   56        47        64        211       2         
  56    7.359579e-01   4.634255e-03   5.335364e-01   7.336492e-01   57        48        65        214       0         
  57    7.155455e-01   3.027267e-03   3.934869e-01   8.803791e-01   58        49        66        218       0         
  58    7.148014e-01   2.667238e-03   2.702442e-01   1.056455e+00   59        50        67        222       0         
  59    7.141977e-01   2.425343e-03   2.382519e-01   1.267746e+00   60        51        68        226       0         
  60    7.123831e-01   1.601321e-03   1.024479e+00   1.267746e+00   61        52        70        231       0         
  61    7.119322e-01   4.921520e-03   6.773172e-01   1.267746e+00   62        53        71        235       0         
  62    6.960028e-01   1.221881e-02   1.061253e+00   1.521295e+00   63        54        72        238       0         
  63    6.948411e-01   7.983602e-03   1.172944e+00   1.521295e+00   64        55        73        241       0         
